route_id,service_id,trip_id,trip_headsign,shape_id,block_id
90A,1615,2164145:532757:533446,Loyalist Link - Kingston,1693,533446
90A,1674,2164102:532758:533462,Loyalist Link - Kingston,1693,533462
90B,1615,2164170:532762:533443,Loyalist Link - Amherstview,1702,533443
90B,1674,2164125:532772:533563,Loyalist Link - Bath,1692,533563
90A,1615,2164154:532774:533533,Loyalist Link - Kingston,1693,533533
90B,1674,2164128:532796:533563,Loyalist Link - Bath,1692,533563
90A,1615,2164144:532822:533446,Loyalist Link - Kingston,1693,533446
90B,1615,2164162:532857:533545,Loyalist Link - Bath,1692,533545
90B,1674,2164127:532869:533563,Loyalist Link - Bath,1692,533563
90A,1674,2164110:532880:533557,Loyalist Link - Odessa,1690,533557
90A,1674,2164115:532921:533557,Loyalist Link - Kingston,1693,533557
90A,1615,2164147:532925:533446,Loyalist Link - Odessa,1690,533446
90B,1615,2164167:532940:533443,Loyalist Link - Bath,1692,533443
90B,1674,2164120:532948:533553,Loyalist Link - Amherstview,1702,533553
90A,1674,2164111:532960:533557,Loyalist Link - Odessa,1690,533557
90A,1674,2164112:532970:533557,Loyalist Link - Odessa,1690,533557
90B,1615,2164169:532979:533443,Loyalist Link - Bath,1692,533443
90B,1615,2164171:532983:533443,Loyalist Link - Amherstview,1702,533443
90A,1615,2164157:532990:533533,Loyalist Link - Kingston,1693,533533
90A,1674,2164114:532995:533557,Loyalist Link - Kingston,1693,533557
90B,1674,2164131:532997:533563,Loyalist Link - Amherstview,1702,533563
90B,1674,2164117:532998:533553,Loyalist Link - Amherstview,1702,533553
90A,1615,2164155:533041:533533,Loyalist Link - Kingston,1693,533533
90A,1615,2164153:533044:533533,Loyalist Link - Odessa,1690,533533
90A,1674,2164108:533052:533462,Loyalist Link - Odessa,1690,533462
90A,1615,2164152:533068:533533,Loyalist Link - Odessa,1690,533533
90B,1615,2164161:533078:533545,Loyalist Link - Amherstview,1702,533545
90A,1615,2164150:533087:533533,Loyalist Link - Odessa,1690,533533
90B,1674,2164121:533100:533553,Loyalist Link - Bath,1692,533553
90B,1674,2164132:533115:533563,Loyalist Link - Amherstview,1702,533563
90B,1615,2164160:533116:533545,Loyalist Link - Amherstview,1702,533545
90B,1674,2164124:533125:533553,Loyalist Link - Bath,1692,533553
90B,1674,2164126:533129:533563,Loyalist Link - Bath,1692,533563
90A,1615,2164149:533134:533446,Loyalist Link - Odessa,1690,533446
90A,1674,2164104:533135:533462,Loyalist Link - Kingston,1693,533462
90A,1674,2164116:533138:533557,Loyalist Link - Kingston,1693,533557
90B,1674,2164129:533148:533563,Loyalist Link - Amherstview,1702,533563
90B,1615,2164168:533151:533443,Loyalist Link - Bath,1692,533443
90A,1674,2164107:533165:533462,Loyalist Link - Odessa,1690,533462
90A,1674,2164103:533166:533462,Loyalist Link - Kingston,1693,533462
90A,1674,2164113:533168:533557,Loyalist Link - Kingston,1693,533557
90A,1674,2164101:533172:533462,Loyalist Link - Kingston,1693,533462
90A,1615,2164151:533180:533533,Loyalist Link - Odessa,1690,533533
90B,1615,2164172:533197:533443,Loyalist Link - Amherstview,1702,533443
90A,1674,2164109:533205:533557,Loyalist Link - Odessa,1690,533557
90A,1674,2164106:533235:533462,Loyalist Link - Odessa,1690,533462
90B,1674,2164119:533246:533553,Loyalist Link - Amherstview,1702,533553
90A,1615,2164156:533254:533533,Loyalist Link - Kingston,1693,533533
90B,1615,2164173:533268:533443,Loyalist Link - Amherstview,1702,533443
90B,1674,2164123:533272:533553,Loyalist Link - Bath,1692,533553
90B,1615,2164166:533276:533443,Loyalist Link - Bath,1692,533443
90B,1674,2164130:533278:533563,Loyalist Link - Amherstview,1702,533563
90B,1615,2164163:533283:533545,Loyalist Link - Bath,1692,533545
90A,1615,2164142:533288:533446,Loyalist Link - Kingston,1693,533446
90B,1615,2164159:533291:533545,Loyalist Link - Amherstview,1702,533545
90A,1615,2164143:533298:533446,Loyalist Link - Kingston,1693,533446
90A,1674,2164105:533334:533462,Loyalist Link - Odessa,1690,533462
90B,1615,2164158:533348:533545,Loyalist Link - Amherstview,1702,533545
90B,1615,2164165:533370:533545,Loyalist Link - Bath,1692,533545
90B,1674,2164118:533375:533553,Loyalist Link - Amherstview,1702,533553
90B,1674,2164122:533377:533553,Loyalist Link - Bath,1692,533553
90A,1615,2164146:533390:533446,Loyalist Link - Odessa,1690,533446
90B,1615,2164164:533401:533545,Loyalist Link - Bath,1692,533545
90A,1615,2164148:533407:533446,Loyalist Link - Odessa,1690,533446
